Value;Count;Percentage
P02788;444;15.49738219895288
P05814;366;12.774869109947645
P47710;269;9.389179755671902
P07498;125;4.363001745200698
P02647;83;2.8970331588132634
P61626;70;2.4432809773123907
Q08380;70;2.4432809773123907
Q08431;65;2.2687609075043627
P02649;56;1.954624781849913
P49327;56;1.954624781849913
P06858;49;1.7102966841186735
P04264;47;1.6404886561954626
P16671;44;1.5357766143106457
P30086;44;1.5357766143106457
O60664;42;1.4659685863874345
Q99541;31;1.082024432809773
P13645;31;1.082024432809773
Q99102;28;0.9773123909249565
Q6WN34;28;0.9773123909249565
P05164;26;0.9075043630017453
P35908;26;0.9075043630017453
P15941;22;0.7678883071553229
P01833;21;0.7329842931937173
P08571;19;0.6631762652705061
P35527;18;0.6282722513089005
P15328;16;0.5584642233856894
Q13410;16;0.5584642233856894
P48668;14;0.48865619546247824
P00709;14;0.48865619546247824
Q9H4G4;13;0.45375218150087265
P19440;13;0.45375218150087265
P13987;13;0.45375218150087265
Q5SQN1;13;0.45375218150087265
P05109;13;0.45375218150087265
P13647;13;0.45375218150087265
P04004;12;0.41884816753926707
Q99877;12;0.41884816753926707
Q99879;12;0.41884816753926707
Q93079;12;0.41884816753926707
P63104;11;0.38394415357766143
P20160;11;0.38394415357766143
P60709;11;0.38394415357766143
P60710;11;0.38394415357766143
P63261;11;0.38394415357766143
O00300;11;0.38394415357766143
P16402;11;0.38394415357766143
P43277;11;0.38394415357766143
P10412;11;0.38394415357766143
P15864;11;0.38394415357766143
P16403;11;0.38394415357766143
Q16778;11;0.38394415357766143
P23527;11;0.38394415357766143
P06899;11;0.38394415357766143
P33778;11;0.38394415357766143
P47989;11;0.38394415357766143
P62937;10;0.34904013961605584
P04406;10;0.34904013961605584
Q16651;10;0.34904013961605584
Q922U2;10;0.34904013961605584
P06702;9;0.31413612565445026
Q96KK5;8;0.2792321116928447
Q99878;8;0.2792321116928447
Q9BTM1;8;0.2792321116928447
Q6X4U4;8;0.2792321116928447
P08246;8;0.2792321116928447
P39019;8;0.2792321116928447
P50446;7;0.24432809773123912
Q5T2N8;7;0.24432809773123912
P07602;7;0.24432809773123912
P04104;7;0.24432809773123912
P13688;7;0.24432809773123912
O00299;7;0.24432809773123912
P16401;6;0.20942408376963353
Q8NBJ7;6;0.20942408376963353
Q15365;6;0.20942408376963353
P02533;6;0.20942408376963353
P08779;6;0.20942408376963353
P43276;6;0.20942408376963353
Q9BY76;6;0.20942408376963353
P31946;6;0.20942408376963353
Q4FZU2;6;0.20942408376963353
P62630;5;0.17452006980802792
P23284;5;0.17452006980802792
P68104;5;0.17452006980802792
Q05639;5;0.17452006980802792
P28676;5;0.17452006980802792
P10126;5;0.17452006980802792
P62631;5;0.17452006980802792
Q6UXI9;5;0.17452006980802792
O00592;5;0.17452006980802792
P19012;5;0.17452006980802792
P13646;5;0.17452006980802792
O43490;4;0.13961605584642234
P49908;4;0.13961605584642234
O75888;4;0.13961605584642234
Q99828;4;0.13961605584642234
P26201;4;0.13961605584642234
Q8N271;4;0.13961605584642234
P62851;4;0.13961605584642234
P08174;4;0.13961605584642234
P14206;4;0.13961605584642234
Q562R1;4;0.13961605584642234
O14745;4;0.13961605584642234
Q9P225;4;0.13961605584642234
Q13113;4;0.13961605584642234
P24158;4;0.13961605584642234
P08865;4;0.13961605584642234
P80188;3;0.10471204188481677
Q9H444;3;0.10471204188481677
P46782;3;0.10471204188481677
P02774;3;0.10471204188481677
P35542;3;0.10471204188481677
P49913;3;0.10471204188481677
Q5TFQ8;3;0.10471204188481677
P01591;3;0.10471204188481677
P01011;3;0.10471204188481677
P01911;3;0.10471204188481677
P78324;3;0.10471204188481677
Q9HD42;2;0.06980802792321117
P24821;2;0.06980802792321117
P62269;2;0.06980802792321117
P62880;2;0.06980802792321117
P26040;2;0.06980802792321117
P31977;2;0.06980802792321117
P62879;2;0.06980802792321117
P22079;2;0.06980802792321117
P80025;2;0.06980802792321117
P15311;2;0.06980802792321117
Q9HAV0;2;0.06980802792321117
P62873;2;0.06980802792321117
O70133;2;0.06980802792321117
P16520;2;0.06980802792321117
P26038;2;0.06980802792321117
P62806;2;0.06980802792321117
P13762;2;0.06980802792321117
Q30154;2;0.06980802792321117
P50591;2;0.06980802792321117
P31431;2;0.06980802792321117
P60953;2;0.06980802792321117
P34096;2;0.06980802792321117
P62805;2;0.06980802792321117
P04083;2;0.06980802792321117
P59666;2;0.06980802792321117
P59665;2;0.06980802792321117
P02768;2;0.06980802792321117
P0C0L5;2;0.06980802792321117
P0C0L4;2;0.06980802792321117
O00468;2;0.06980802792321117
P05362;1;0.034904013961605584
P07150;1;0.034904013961605584
P08572;1;0.034904013961605584
P19875;1;0.034904013961605584
P09341;1;0.034904013961605584
P12272;1;0.034904013961605584
P46783;1;0.034904013961605584
P19105;1;0.034904013961605584
O15511;1;0.034904013961605584
P00441;1;0.034904013961605584
P08228;1;0.034904013961605584
P27701;1;0.034904013961605584
P47914;1;0.034904013961605584
P02749;1;0.034904013961605584
O14950;1;0.034904013961605584
Q2I0M4;1;0.034904013961605584
P35241;1;0.034904013961605584
P79483;1;0.034904013961605584
P55327;1;0.034904013961605584
Q8N307;1;0.034904013961605584
Q96DA0;1;0.034904013961605584
Q9P2E9;1;0.034904013961605584
