Value;Count;Percentage
No PTM;3170;80.68210740646475
Other;691;17.587172308475438
Fucosylated;37;0.941715449223721
Sialylated;19;0.48358360906082976
Oligomannose;10;0.2545176889793841
Fucosialylated;2;0.050903537795876815
