Accession
A0A075B759
A0A096LP55
A0A0B4J2A2
A0AVI4
A0AVT1
A0AVT1
A0AVT1
A0AVT1
A0FGR8
A0FGR8
A0FGR8
A0FGR8
A0FGR8
A0FGR8
A0FGR8
A0FGR8
A0JLT2
A0JN86
A0JNP2
A0JP26
A0JPJ7
A0MZ66
A0PJK1
A0PJW6
A1A4I4
A1A4J1
A1A4K3
A1A4V9
A1A5B4
A1A5B4
A1A5C7
A1A5D9
A1A5D9
A1A5D9
A1KXE4
A1KZ92
A1L020
A1L0T0
A1L0T0
A1L188
A1L1J9
A1L390
A1L390
A1L429
A1L453
A1L4H1
A1L4K1
A1X283
A1XBS5
A1ZA47
A1ZAX1
A2A288
A2A3K4
A2AG50
A2AIV2
A2APV2
A2ASQ1
A2AV25
A2CJ06
A2Q0Z1
A2RRL7
A2RRP1
A2RRU1
A2RTX5
A2RU54
A2RUB6
A2RUC4
A2RUR9
A2RUS2
A2RUS2
A2RUW1
A2VCW5
A2VCW5
A2VDK6
A2VDN5
A2VDP1
A2VDY3
A2VE01
A2VE21
A2VE45
A2VE99
A2VEC9
A3FPG8
A3KFT3
A3KMV2
A3KMV5
A3KN12
A3KN22
A3M144
A3M1F6
A3M750
A3M965
A3M976
A3M9G4
A3M9G7
A4D0T2
A4D0Y5
A4D1P6
A4D1P6
A4D1S0
A4D1S0
A4D1S0
A4D1S5
A4FU28
A4FU49
A4FU69
A4FUA8
A4FUC9
A4FUG8
A4FV14
A4FV54
A4FV58
A4FV68
A4FV84
A4GXA9
A4IF69
A4IF89
A4IF97
A4IFD7
A4IFQ0
A5A3E0
A5A3E0
A5A3E0
A5A3E0
A5A3E0
A5A3E0
A5A3E0
A5A3E0
A5A3E0
A5A3E0
A5A3E0
A5D794
A5D7A0
A5D7C2
A5D7D1
A5D7H3
A5D7K1
A5D8V6
A5D8V6
A5D8V6
A5D8V6
A5D8V6
A5D8V6
A5D8V6
A5D989
A5D9H7
A5LHX3
A5PJI5
A5PJT0
A5PJZ5
A5PK00
A5PK13
A5PK39
A5PK51
A5PK65
A5PKA5
A5PKG6
A5PKH3
A5PKL7
A5PKW4
A5PL33
A5PLL7
A5PLL7
A5PLL7
A5PLL7
A5PLL7
A5PLL7
A5PLL7
A5PLN9
A5YKK6
A5YKK6
A5YKK6
A6H750
A6H768
A6H7F6
A6H7G2
A6H7H1
A6H7I5
A6H8Y1
A6NC98
A6NC98
A6ND48
A6NDG6
A6NDI0
A6NDS4
A6NDU8
A6NDV4
A6NE01
A6NE02
A6NEM1
A6NER0
A6NF89
A6NFX1
A6NFY7
A6NGB0
A6NGN9
A6NGR9
A6NH00
A6NHL2
A6NHL2
A6NHL2
A6NHR9
A6NHR9
A6NHR9
A6NI47
A6NI47
A6NI47
A6NIH7
A6NIH7
A6NIH7
A6NJ08
A6NJG2
A6NJV1
A6NK75
A6NKB5
A6NKB5
A6NKD2
A6NKG5
A6NKK0
A6NKU9
A6NKU9
A6NKW6
A6NLC5
A6NLJ0
A6NM03
A6NNB3
A6NND4
A6PWY4
A6QL64
A6QL88
A6QLC7
A6QLH6
A6QLJ8
A6QLP2
A6QLP7
A6QLR3
A6QLR4
A6QLU7
A6QLV3
A6QNW6
A6QNX5
A6QP06
A6QP79
A6QQ21
A6QQ93
A6QR56
A6ZKI3
A7E2V4
A7E2V4
A7E3W2
A7E3X2
A7MAZ3
A7MB10
A7MB40
A7MB62
A7MB78
A7MB80
A7MBB4
A7MBI7
A7MBJ4
A7MBJ5
A7MBM2
A7MCY6
A7MD48
A7VJC2
A7YSY2
A7YY28
A7YY57
A7YY62
A7Z035
A8K2U0
A8K2U0
A8K2U0
A8K4G0
A8K7I4
A8K7I4
A8K8P3
A8K8V0
A8MQ03
A8MQ03
A8MQ27
A8MT33
A8MT69
A8MTJ3
A8MTJ3
A8MTJ3
A8MVS5
A8MVW0
A8MW92
A8MXT2
A8MXZ3
A8MZ97
A8WCF8
A9YTQ3
A9YTQ3
B0BN93
B0BNA7
B0BNE5
B0BNN3
B0FP48
B0I1T2
B0I1T2
B0I1T2
B0I1T2
B0I1T2
B0I1T2
B0I1T2
B0K025
B0LT89
B0YJ81
B1AJZ9
B1AL88
B2GUV7
B2GUZ1
B2GUZ5
B2GV06
B2GV06
B2GV38
B2RQC6
B2RUZ4
B2RXH8
B2RXH8
B2RXH8
B2RXH8
B2RXS4
B2RXS4
B2RXV4
B2RYG6
B2RYI0
B2RYM5
B2RZ37
B2RZ78
B3DMA2
B4DS77
B4F795
B5DEH2
B5DEK8
B5DFC8
B5ME19
B5ME19
B5ME19
B5ME19
B5ME19
B6SEH8
B7ZAQ6
B7ZMP1
B7ZW38
B7ZW38
B7ZW38
B9A064
B9A064
B9A064
C0HKA0
C0HKE1
C0HKE1
C0HKE1
C0HKE1
C4NYP8
C9J1S8
C9JLW8
C9JVW0
D2XV59
D3YZU1
D3Z6P0
D3Z8L7
D3ZAF6
D3ZBN0
D3ZEH5
D3ZTE0
D3ZTX0
D3ZUK3
D3ZW55
D4A3K5
D4A7C0
D4A929
D4A929
E5RJM6
E9PAV3
E9PAV3
E9PAV3
E9PAV3
E9PAV3
E9PAV3
E9PAV3
E9PAV3
E9PAV3
E9PAV3
E9PAV3
F1MSG6
F2Z398
F7VJQ1
F7VJQ1
F7VJQ1
F7VJQ1
F7VJQ1
F7VJQ2
F8WCM5
G3V7P1
G3XD94
H0YL14
H3BUK9
K7EJ46
M0RC99
O00116
O00116
O00139
O00139
O00139
O00139
O00139
O00139
O00144
O00148
O00148
O00148
O00148
O00148
O00148
O00148
O00148
O00148
O00151
O00151
O00151
O00151
O00151
O00151
O00151
O00151
O00151
O00151
O00151
O00151
O00154
O00154
O00154
O00154
O00154
O00154
O00154
O00154
O00154
O00154
O00154
O00154
O00154
O00155
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00159
O00160
O00160
O00160
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00161
O00165
O00167
O00167
O00170
O00170
O00175
O00175
O00178
O00178
O00178
O00182
O00186
O00186
O00186
O00186
O00186
O00186
O00186
O00186
O00186
O00186
O00186
O00186
O00186
O00186
O00186
O00186
O00187
O00187
O00187
O00187
O00187
O00187
O00187
O00187
O00189
O00192
O00192
O00192
O00193
O00194
O00194
O00194
O00194
O00194
O00194
O00194
O00194
O00194
O00194
O00194
O00194
O00194
O00194
O00194
O00194
O00194
O00198
O00203
O00203
O00203
O00203
O00206
O00214
O00214
O00217
O00217
O00220
O00220
O00230
O00231
O00231
O00231
O00231
O00231
O00231
O00231
O00231
O00231
O00231
O00231
O00231
O00231
O00231
O00231
O00231
O00232
O00232
O00232
O00232
O00232
O00232
O00232
O00232
O00232
O00232
O00232
O00232
O00233
O00233
O00233
O00233
O00233
O00237
O00241
O00241
O00244
O00244
O00255
O00255
O00255
O00257
O00258
O00264
O00264
O00264
O00264
O00264
O00264
O00264
O00264
O00264
O00267
O00267
O00267
O00273
O00291
O00291
O00294
O00295
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00299
O00300
O00300
O00300
O00303
O00303
O00303
O00303
O00303
