Sample;Technique;Pool;n Proteins Total;n PTM Total;n Peptides Total;n Proteins Filtered;n PTM Filtered;n Peptides Filtered;% Proteins with PTM / Total;% Peptides with PTM / Total
UC_POOLS_123;UC;POOLS_123;599;137;3523;298;113;1724;49.749582637729546;48.935566278739714
ExoGAG_POOLS_123;ExoGAG;POOLS_123;788;134;4325;368;122;2448;46.7005076142132;56.60115606936416
IP_CD9_POOLS_123;IP_CD9;POOLS_123;309;54;1382;119;23;680;38.51132686084142;49.204052098408106
Raw_milk_POOLS_123;Raw_milk;POOLS_123;115;268;734;90;250;616;78.26086956521739;83.92370572207085
SEC_POOLS_123;SEC;POOLS_123;438;177;3268;208;154;1248;47.48858447488585;38.188494492044065
