Sample;Technique;Pool;n Proteins Total;n PTM Total;n Peptides Total;n Proteins Filtered;n PTM Filtered;n Peptides Filtered;% Proteins with PTM / Total;% Peptides with PTM / Total
ExoGAG_POOLS_123_filtered_vcp;ExoGAG;POOLS_123;368;122;2448;21;63;55;5.706521739130435;2.246732026143791
IP_CD9_POOLS_123_filtered_vcp;IP_CD9;POOLS_123;119;23;680;7;9;10;5.882352941176471;1.4705882352941178
SEC_POOLS_123_filtered_vcp;SEC;POOLS_123;208;154;1248;19;74;62;9.134615384615385;4.967948717948718
UC_POOLS_123_filtered_vcp;UC;POOLS_123;298;113;1724;21;58;66;7.046979865771812;3.82830626450116
